epoch,train_loss,val_loss,train_mae,val_mae,lr,train_mae_bin_0,val_mae_bin_0,train_count_bin_0,val_count_bin_0,train_mae_bin_1,val_mae_bin_1,train_count_bin_1,val_count_bin_1,train_mae_bin_2,val_mae_bin_2,train_count_bin_2,val_count_bin_2,train_mae_bin_3,val_mae_bin_3,train_count_bin_3,val_count_bin_3,train_mae_bin_4,val_mae_bin_4,train_count_bin_4,val_count_bin_4,train_mae_bin_5,val_mae_bin_5,train_count_bin_5,val_count_bin_5,train_mae_bin_6,val_mae_bin_6,train_count_bin_6,val_count_bin_6,train_mae_bin_7,val_mae_bin_7,train_count_bin_7,val_count_bin_7
33,0.011516734560780058,0.0036997355566133127,0.0011844593752579518,0.001503585581556138,0.0007545207078751858,,,0,0,0.001901541045440339,0.0024316581829785214,75995,19321,4.196658527254795e-05,3.849115538038283e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
34,0.011603521980434505,0.003695428100568319,0.001184024601393232,0.0015012058564269587,0.0007408768370508578,,,0,0,0.0019012160729644607,0.002428667371933464,75995,19321,4.1356862717764376e-05,3.7076116951647574e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
35,0.01157009798629618,0.003693726340490122,0.0011843884477062085,0.0015005634604462338,0.0007269952498697736,,,0,0,0.0019014759990988695,0.002427932647161586,75995,19321,4.188627797236319e-05,3.657947282362551e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
36,0.011553932960472706,0.003695383062980879,0.001184325098117761,0.001501005592553685,0.0007128896457825365,,,0,0,0.0019015817302488582,0.0024279820108220208,75995,19321,4.1553542484266736e-05,3.764164322850305e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
37,0.011509579339189483,0.0036973836493679278,0.0011841978359755205,0.0015014150806494115,0.0006985739453173904,,,0,0,0.001901292925660885,0.00242944747546678,75995,19321,4.168365981692363e-05,3.6384118116412114e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
38,0.011533128457893789,0.0036988476393217604,0.0011841710310589678,0.001502242557474938,0.0006840622763423392,,,0,0,0.0019013120237414912,0.002430870985074344,75995,19321,4.158371484107024e-05,3.627068131564523e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
39,0.011580391315970396,0.003694198647782818,0.0011840830513811275,0.0015005739597526659,0.0006693689601226459,,,0,0,0.0019011947212076127,0.0024281134559638253,75995,19321,4.1542456609605354e-05,3.632110573863272e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
40,0.01156826923622276,0.003696007708169305,0.001184237892934559,0.0015015684770070062,0.0006545084971874739,,,0,0,0.001901298277433847,0.002428769508454529,75995,19321,4.177900826566437e-05,3.7849946548295246e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
41,0.011547102978550482,0.003699558644321055,0.0011840636310997362,0.0015035487376947646,0.0006394955530196148,,,0,0,0.0019011421952486033,0.0024294259037305416,75995,19321,4.1575785794794164e-05,4.192011325458946e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
42,0.011542748653125495,0.0036978737614877435,0.0011843529912544705,0.0015018859603014732,0.0006243449435824275,,,0,0,0.0019015219550061182,0.0024298199102093135,75995,19321,4.172111417109699e-05,3.701041490814707e-05,47698,12239,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0
