split,slice_type,slice_value,sample_count,speed_mps_mean,abs_residual_mean,abs_model_comp_mean,abs_gap_mean,mae_lqr_to_opt,mae_pred_to_opt,improvement_abs,comp_to_residual_ratio_mean
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_14\csv_data\Conventional_flatland_no_14_Excellent_Excellent_Seg7.csv,748,1.47757782,0.00199655425,0.00198029142,4.24565307e-05,0.00199655425,4.24565307e-05,0.00195409772,0.994570205
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg2.csv,797,1.4925116,0.0016853533,0.00166556162,3.39167596e-05,0.0016853533,3.39167596e-05,0.00165143654,0.994795197
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg3.csv,758,1.52617609,0.00178018226,0.00174828453,4.43446853e-05,0.00178018226,4.43446831e-05,0.00173583758,1.01907879
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg4.csv,709,1.50782131,0.00163356121,0.0016090681,3.70276141e-05,0.00163356121,3.70276153e-05,0.00159653359,0.98763054
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_15\csv_data\Conventional_flatland_no_15_Excellent_Excellent_Seg7.csv,739,1.47580032,0.00161643934,0.00159906626,3.6445846e-05,0.00161643934,3.64458463e-05,0.00157999349,0.989428585
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg2.csv,707,1.56566063,0.00142681385,0.00139352388,4.22821238e-05,0.00142681385,4.22821247e-05,0.00138453173,0.98197054
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg3.csv,750,1.53310062,0.00165096947,0.00161838097,4.44849082e-05,0.00165096947,4.44849087e-05,0.00160648456,0.980456951
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg4.csv,800,1.44144809,0.00161968762,0.00161217505,4.08645865e-05,0.00161968762,4.08645869e-05,0.00157882304,1.0021314
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg5.csv,698,1.54782116,0.00174284246,0.00170349152,4.90847276e-05,0.00174284246,4.90847275e-05,0.00169375773,0.978687815
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_16\csv_data\Conventional_flatland_no_16_Excellent_Excellent_Seg7.csv,737,1.45796502,0.00168973186,0.00168747193,3.65401434e-05,0.00168973186,3.65401442e-05,0.00165319172,0.996479236
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg1.csv,832,1.42438695,0.00147421197,0.0014831203,6.87672759e-05,0.00147421197,6.87672754e-05,0.0014054447,1.00666754
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg2.csv,790,1.47212163,0.00147000158,0.00146782093,3.78599277e-05,0.00147000158,3.78599286e-05,0.00143214165,0.993913421
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg4.csv,774,1.43241848,0.00157736067,0.00157618217,3.4856642e-05,0.00157736067,3.48566408e-05,0.00154250403,1.34459877
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg5.csv,758,1.50446618,0.00165989247,0.00162142445,5.57870074e-05,0.00165989247,5.57870074e-05,0.00160410546,1.13808207
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_17\csv_data\Conventional_flatland_no_17_Excellent_Excellent_Seg7.csv,728,1.50826497,0.00161066476,0.00158836014,5.70123275e-05,0.00161066476,5.70123285e-05,0.00155365243,1.02954729
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg2.csv,808,1.42646965,0.00133118893,0.00132841676,2.85090192e-05,0.00133118893,2.85090195e-05,0.00130267991,0.999721714
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg3.csv,852,1.4105938,0.00133627352,0.00133702008,3.35349337e-05,0.00133627352,3.35349336e-05,0.00130273858,1.0282929
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg4.csv,787,1.47823671,0.00138798531,0.00137043677,3.52731614e-05,0.00138798531,3.52731618e-05,0.00135271215,1.00253057
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg5.csv,843,1.42316507,0.00155388559,0.0015656695,9.03980137e-05,0.00155388559,9.03980135e-05,0.00146348757,1.02718515
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg6.csv,731,1.44407806,0.0015893114,0.00157994527,3.90978902e-05,0.0015893114,3.90978898e-05,0.00155021351,1.00249249
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_18\csv_data\Conventional_flatland_no_18_Excellent_Excellent_Seg7.csv,735,1.45533077,0.00145600663,0.00144958906,2.8869274e-05,0.00145600663,2.88692735e-05,0.00142713736,1.00240175
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg1.csv,722,1.41221287,0.00113807939,0.0011393962,4.11562024e-05,0.00113807939,4.11562023e-05,0.00109692319,1.00871741
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg3.csv,818,1.44810108,0.00125377425,0.00124824343,2.90327764e-05,0.00125377425,2.90327758e-05,0.00122474147,0.999083324
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg4.csv,700,1.52043316,0.00160809807,0.0015839954,3.90744519e-05,0.00160809807,3.90744519e-05,0.00156902361,0.992772984
train,source_id,D:\Huace_Work\AI_Control\Excellent_Data\Process_Data\Conventional_flatland_no_19\csv_data\Conventional_flatland_no_19_Excellent_Excellent_Seg5.csv,816,1.41605908,0.00116675049,0.00117794406,4.81925972e-05,0.00116675049,4.81925979e-05,0.00111855789,1.19684526
